공급사_주가,BHP_close,RIO_close,VALE_close,날짜,PDS 원자재 지수,날짜,USD/RMB_환율,기준일,철광석_가격,날짜,USD/BRL (미국 달러 / 브라질 레알),날짜,AUD/USD (호주 달러 / 미국 달러),중국_재고량,inventory index
2016-01-18,21.48,23.77,2.27,2016-01-18,70.23,2016-01-18,6.56,2016-01-29,41.74,2016-01-18,4.09,2016-01-18,0.69,2016-03-04,97.86
2016-01-25,21.91,24.65,2.45,2016-01-25,71.84,2016-01-25,6.55,2016-02-05,44.55,2016-01-25,4.07,2016-01-25,0.7,2016-03-11,96.95
2016-02-01,22.58,26.209999,2.61,2016-02-01,74.03,2016-02-01,6.55,2016-02-12,45.73,2016-02-01,3.93,2016-02-01,0.71,2016-03-18,97.5
2016-02-08,22.719999,26.52,2.63,2016-02-08,72.76,2016-02-15,6.52,2016-02-19,47.01,2016-02-08,3.94,2016-02-08,0.71,2016-03-25,96.31
2016-02-15,23.98,27.370001,2.94,2016-02-15,72.91,2016-02-22,6.53,2016-02-26,50.56,2016-02-15,4.02,2016-02-15,0.71,2016-04-01,99.43
2016-02-22,22.559999,25.52,2.71,2016-02-22,73.34,2016-02-29,6.54,2016-03-04,51.7,2016-02-22,3.96,2016-02-22,0.72,2016-04-08,100.72
2016-02-29,27.68,30.32,4.38,2016-02-29,75.71,2016-03-07,6.51,2016-03-11,60.08,2016-02-29,3.88,2016-02-29,0.73,2016-04-15,99.14
2016-03-07,27.219999,29.110001,3.83,2016-03-07,79.18,2016-03-14,6.5,2016-03-18,55.12,2016-03-07,3.69,2016-03-07,0.75,2016-04-22,99.39
2016-03-14,27.42,29.129999,4.17,2016-03-14,80.97,2016-03-21,6.5,2016-03-25,57.86,2016-03-14,3.68,2016-03-14,0.76,2016-04-29,100.08
2016-03-21,25.639999,27.709999,4.04,2016-03-21,82.4,2016-03-28,6.49,2016-04-01,54.72,2016-03-21,3.65,2016-03-21,0.76,2016-05-06,100.67
2016-03-28,25.65,28.17,4.32,2016-03-28,81.87,2016-04-04,6.47,2016-04-08,54.57,2016-03-28,3.61,2016-03-28,0.76,2016-05-13,99.37
2016-04-04,24.77,27.99,4.48,2016-04-04,81.92,2016-04-11,6.47,2016-04-15,58.8,2016-04-04,3.65,2016-04-04,0.76,2016-05-20,101.78
2016-04-11,28.91,31.67,5.29,2016-04-11,83.92,2016-04-18,6.48,2016-04-22,64.95,2016-04-11,3.5,2016-04-11,0.77,2016-05-27,101.86
2016-04-18,31.82,33.560001,5.42,2016-04-18,85.52,2016-04-25,6.49,2016-04-29,63.82,2016-04-18,3.55,2016-04-18,0.78,2016-06-03,100.17
2016-04-25,31.34,33.66,5.67,2016-04-25,87.73,2016-05-02,6.5,2016-05-06,60.51,2016-04-25,3.51,2016-04-25,0.77,2016-06-12,100.7
2016-05-02,27.93,30.9,4.78,2016-05-02,88.81,2016-05-09,6.52,2016-05-13,55.08,2016-05-02,3.53,2016-05-02,0.75,2016-06-17,100.57
2016-05-09,26.6,28.290001,4.13,2016-05-09,87.56,2016-05-16,6.54,2016-05-20,55.05,2016-05-09,3.49,2016-05-09,0.73,2016-06-24,102.68
2016-05-16,26.84,28.309999,3.98,2016-05-16,89.4,2016-05-23,6.55,2016-05-27,50.72,2016-05-16,3.54,2016-05-16,0.73,2016-07-01,104.61
2016-05-23,27.5,28.73,3.98,2016-05-23,89.62,2016-05-30,6.58,2016-06-03,49.42,2016-05-23,3.58,2016-05-23,0.72,2016-07-08,106.57
2016-05-30,27.809999,28.34,4.61,2016-05-30,89.73,2016-06-06,6.56,2016-06-10,52.27,2016-05-30,3.58,2016-05-30,0.73,2016-07-15,108.4
2016-06-06,26.73,27.940001,4.41,2016-06-06,91.29,2016-06-13,6.58,2016-06-17,51.18,2016-06-06,3.42,2016-06-06,0.74,2016-07-22,108.84
2016-06-13,27.709999,29.190001,4.46,2016-06-13,90.98,2016-06-20,6.57,2016-06-24,51.34,2016-06-13,3.46,2016-06-13,0.74,2016-07-29,108.64
2016-06-20,27.23,28.76,4.55,2016-06-20,90.36,2016-06-27,6.64,2016-07-01,54.28,2016-06-20,3.38,2016-06-20,0.75,2016-08-05,108.21
2016-06-27,28.620001,31.57,5.16,2016-06-27,90.74,2016-07-04,6.67,2016-07-08,55.66,2016-06-27,3.28,2016-06-27,0.74,2016-08-12,107.54
2016-07-04,29.34,31.59,4.95,2016-07-04,91.02,2016-07-11,6.69,2016-07-15,58.22,2016-07-04,3.32,2016-07-04,0.75,2016-08-19,106.41
2016-07-11,30.5,32.860001,5.36,2016-07-11,89.42,2016-07-18,6.69,2016-07-22,56.33,2016-07-11,3.27,2016-07-11,0.76,2016-08-26,105.4
2016-07-18,28.549999,31.35,5.31,2016-07-18,89.03,2016-07-25,6.67,2016-07-29,58.73,2016-07-18,3.26,2016-07-18,0.75,2016-09-02,104.24
2016-07-25,29.690001,32.82,5.75,2016-07-25,87.15,2016-08-01,6.64,2016-08-05,61.22,2016-07-25,3.27,2016-07-25,0.75,2016-09-09,103.46
2016-08-01,31.02,32.740002,6.02,2016-08-01,85.56,2016-08-08,6.65,2016-08-12,60.47,2016-08-01,3.23,2016-08-01,0.76,2016-09-16,104.01
2016-08-08,30.969999,31.08,5.64,2016-08-08,86.82,2016-08-15,6.63,2016-08-19,60.96,2016-08-08,3.16,2016-08-08,0.77,2016-09-23,102.72
2016-08-15,31.940001,32.060001,5.97,2016-08-15,88.98,2016-08-22,6.66,2016-08-26,61.05,2016-08-15,3.21,2016-08-15,0.77,2016-09-30,106.48
2016-08-22,32.09,31.540001,5.45,2016-08-22,90.45,2016-08-29,6.68,2016-09-02,59.13,2016-08-22,3.23,2016-08-22,0.76,2016-10-09,104.61
2016-08-29,30.620001,31.129999,5.6,2016-08-29,89.52,2016-09-05,6.67,2016-09-09,58.56,2016-08-29,3.24,2016-08-29,0.75,2016-10-14,105.68
2016-09-05,30.74,30.74,5.19,2016-09-05,88.69,2016-09-12,6.68,2016-09-16,56,2016-09-05,3.23,2016-09-05,0.76,2016-10-21,106.86
2016-09-12,29.969999,29.9,5.03,2016-09-12,89.85,2016-09-19,6.67,2016-09-23,56.09,2016-09-12,3.3,2016-09-12,0.75,2016-10-28,108.29
2016-09-19,32.540001,32.41,5.42,2016-09-19,89.36,2016-09-26,6.67,2016-09-30,56.48,2016-09-19,3.24,2016-09-19,0.76,2016-11-04,111.19
2016-09-26,34.650002,33.400002,5.5,2016-09-26,90.39,2016-10-10,6.72,2016-10-07,55.86,2016-09-26,3.24,2016-09-26,0.77,2016-11-11,109.09
2016-10-03,35.360001,33.16,5.57,2016-10-03,92.11,2016-10-17,6.74,2016-10-14,57.09,2016-10-03,3.23,2016-10-03,0.76,2016-11-18,111.35
2016-10-10,33.990002,31.77,5.58,2016-10-10,94.47,2016-10-24,6.77,2016-10-21,58.55,2016-10-10,3.2,2016-10-10,0.76,2016-11-25,110.73
2016-10-17,34.959999,32.869999,6.26,2016-10-17,94.38,2016-10-31,6.76,2016-10-28,62.26,2016-10-17,3.17,2016-10-17,0.77,2016-12-02,112.12
2016-10-24,34.869999,34.529999,6.9,2016-10-24,93.84,2016-11-07,6.79,2016-11-04,65.1,2016-10-24,3.15,2016-10-24,0.76,2016-12-09,112.43
2016-10-31,33.98,33.93,6.67,2016-10-31,93.12,2016-11-14,6.86,2016-11-11,72.13,2016-10-31,3.24,2016-10-31,0.77,2016-12-16,112.99
2016-11-07,37.5,39.080002,7.69,2016-11-07,91.97,2016-11-21,6.9,2016-11-18,73.84,2016-11-07,3.28,2016-11-07,0.77,2016-12-23,111.65
2016-11-14,35.48,36.549999,7.24,2016-11-14,93.3,2016-11-28,6.89,2016-11-25,75.53,2016-11-14,3.43,2016-11-14,0.75,2016-12-30,114.39
2016-11-21,38.740002,39.349998,8.42,2016-11-21,94.49,2016-12-05,6.88,2016-12-02,77.27,2016-11-21,3.4,2016-11-21,0.74,2017-01-06,117.32
2016-11-28,38.02,39.02,8.44,2016-11-28,96.25,2016-12-12,6.92,2016-12-09,80.81,2016-11-28,3.46,2016-11-28,0.74,2017-01-13,118.99
2016-12-05,38.48,41.150002,8.78,2016-12-05,100.36,2016-12-19,6.94,2016-12-16,81.83,2016-12-05,3.39,2016-12-05,0.75,2017-01-20,119.51
2016-12-12,36.400002,38.759998,8.17,2016-12-12,101.39,2016-12-26,6.95,2016-12-23,78.86,2016-12-12,3.36,2016-12-12,0.74,2017-02-10,128.2
2016-12-19,35.41,38.119999,7.71,2016-12-19,101.33,2017-01-02,6.93,2016-12-30,79.85,2016-12-19,3.32,2016-12-19,0.72,2017-02-17,129.31
2016-12-26,35.779999,38.459999,7.62,2016-12-26,102.72,2017-01-09,6.92,2017-01-06,77.59,2016-12-26,3.27,2016-12-26,0.72,2017-02-24,130.81
2017-01-02,36.959999,38.389999,7.99,2017-01-02,103.02,2017-01-16,6.87,2017-01-13,79.82,2017-01-02,3.24,2017-01-02,0.73,2017-03-03,131.66
2017-01-09,39.84,42.040001,9.58,2017-01-09,104.21,2017-01-23,6.85,2017-01-20,81.73,2017-01-09,3.2,2017-01-09,0.74,2017-03-10,131.29
2017-01-16,39.93,42.93,10.03,2017-01-16,105.26,2017-01-30,6.86,2017-01-27,82.6,2017-01-16,3.21,2017-01-16,0.75,2017-03-17,131.82
2017-01-23,41.240002,45.349998,10.67,2017-01-23,105.98,2017-02-06,6.87,2017-02-03,83.05,2017-01-23,3.16,2017-01-23,0.76,2017-03-24,133.63
2017-01-30,39.389999,42.669998,9.73,2017-01-30,106.86,2017-02-13,6.87,2017-02-10,83.58,2017-01-30,3.13,2017-01-30,0.76,2017-03-31,134.56
2017-02-06,40.09,45.41,10.46,2017-02-06,107.25,2017-02-20,6.87,2017-02-17,91.08,2017-02-06,3.12,2017-02-06,0.76,2017-04-06,133.74
2017-02-13,40.279999,45.5,10.97,2017-02-13,106.95,2017-02-27,6.88,2017-02-24,92.67,2017-02-13,3.09,2017-02-13,0.77,2017-04-14,132.36
2017-02-20,37.970001,41.689999,10.52,2017-02-20,106.01,2017-03-06,6.9,2017-03-03,91.71,2017-02-20,3.08,2017-02-20,0.77,2017-04-21,131.35
2017-02-27,39.060001,41.790001,10.18,2017-02-27,105.54,2017-03-13,6.9,2017-03-10,88.05,2017-02-27,3.11,2017-02-27,0.76,2017-04-28,133.33
2017-03-06,35.639999,39.389999,9.47,2017-03-06,104.2,2017-03-20,6.89,2017-03-17,90.46,2017-03-06,3.15,2017-03-06,0.75,2017-05-05,136.06
2017-03-13,38.18,43.029999,10.13,2017-03-13,100.99,2017-03-27,6.89,2017-03-24,87.1,2017-03-13,3.13,2017-03-13,0.76,2017-05-12,137.93
2017-03-20,36.509998,40.84,9.3,2017-03-20,101.11,2017-04-03,6.89,2017-03-31,81.6,2017-03-20,3.1,2017-03-20,0.77,2017-05-19,139.42
2017-03-27,36.32,40.68,9.5,2017-03-27,100.4,2017-04-10,6.89,2017-04-07,79.34,2017-03-27,3.13,2017-03-27,0.76,2017-05-26,140.27
2017-04-03,36.970001,40.610001,9.23,2017-04-03,102.06,2017-04-17,6.88,2017-04-14,71.45,2017-04-03,3.12,2017-04-03,0.76,2017-06-02,140.14
2017-04-10,36.09,38.939999,8.72,2017-04-10,103.22,2017-04-24,6.88,2017-04-21,65.53,2017-04-10,3.14,2017-04-10,0.75,2017-06-09,144.11
2017-04-17,35.759998,39.529999,8.87,2017-04-17,102.29,2017-05-01,6.89,2017-04-28,66.89,2017-04-17,3.13,2017-04-17,0.75,2017-06-16,142.36
2017-04-24,35.599998,39.82,8.58,2017-04-24,99.66,2017-05-08,6.9,2017-05-05,66.08,2017-04-24,3.16,2017-04-24,0.75,2017-06-23,145.39
2017-05-01,34.490002,38.900002,8.17,2017-05-01,98.4,2017-05-15,6.87,2017-05-12,60.67,2017-05-01,3.17,2017-05-01,0.75,2017-06-30,144.13
2017-05-08,35.200001,38.689999,8.26,2017-05-08,96.12,2017-05-22,6.87,2017-05-19,61.69,2017-05-08,3.16,2017-05-08,0.74,2017-07-07,142.29
2017-05-15,36.709999,41.380001,8.42,2017-05-15,96.97,2017-05-29,6.83,2017-05-26,60.77,2017-05-15,3.19,2017-05-15,0.74,2017-07-14,142.87
2017-05-22,35.84,40.98,8.53,2017-05-22,98.67,2017-06-05,6.79,2017-06-02,57.56,2017-05-22,3.27,2017-05-22,0.75,2017-07-21,143.2
2017-05-29,35.470001,40.799999,8.21,2017-05-29,96.7,2017-06-12,6.79,2017-06-09,55.63,2017-05-29,3.25,2017-05-29,0.74,2017-07-28,142.31
2017-06-05,35.389999,41.73,8.31,2017-06-05,94.87,2017-06-19,6.81,2017-06-16,54.73,2017-06-05,3.28,2017-06-05,0.75,2017-08-04,140.37
2017-06-12,34.700001,39.299999,7.88,2017-06-12,93.95,2017-06-26,6.81,2017-06-23,56.57,2017-06-12,3.3,2017-06-12,0.76,2017-08-11,138.34
2017-06-19,34.16,39.169998,8.17,2017-06-19,92.96,2017-07-03,6.79,2017-06-30,62.25,2017-06-19,3.33,2017-06-19,0.76,2017-08-18,136.35
2017-06-26,35.59,42.310001,8.75,2017-06-26,93.04,2017-07-10,6.79,2017-07-07,63.11,2017-06-26,3.3,2017-06-26,0.76,2017-08-25,134.73
2017-07-03,37.220001,43.5,8.77,2017-07-03,95,2017-07-17,6.75,2017-07-14,65.03,2017-07-03,3.3,2017-07-03,0.76,2017-09-01,134.19
2017-07-10,39.400002,45.169998,9.25,2017-07-10,94.34,2017-07-24,6.74,2017-07-21,68.22,2017-07-10,3.22,2017-07-10,0.77,2017-09-08,133.9
2017-07-17,38.790001,44.139999,9.02,2017-07-17,95.92,2017-07-31,6.72,2017-07-28,69.34,2017-07-17,3.15,2017-07-17,0.79,2017-09-15,132.61
2017-07-24,41.139999,46.610001,9.67,2017-07-24,97.32,2017-08-07,6.7,2017-08-04,73.42,2017-07-24,3.15,2017-07-24,0.8,2017-09-22,131.74
2017-07-31,41.209999,46.830002,9.97,2017-07-31,99.13,2017-08-14,6.67,2017-08-11,75.88,2017-07-31,3.12,2017-07-31,0.8,2017-09-29,133.57
2017-08-07,40.349998,44.610001,9.69,2017-08-07,100.25,2017-08-21,6.66,2017-08-18,74.94,2017-08-07,3.16,2017-08-07,0.79,2017-10-13,131.47
2017-08-14,40.400002,44.639999,10.03,2017-08-14,100.27,2017-08-28,6.61,2017-08-25,78.59,2017-08-14,3.17,2017-08-14,0.79,2017-10-20,131.78
2017-08-21,42.560001,47.689999,10.68,2017-08-21,101.63,2017-09-04,6.53,2017-09-01,77.13,2017-08-21,3.16,2017-08-21,0.79,2017-10-27,135.94
2017-08-28,44.16,49.529999,11.3,2017-08-28,102.72,2017-09-11,6.53,2017-09-08,76.61,2017-08-28,3.16,2017-08-28,0.79,2017-11-03,137.42
2017-09-04,42.990002,48.27,11.11,2017-09-04,104.58,2017-09-18,6.57,2017-09-15,74.71,2017-09-04,3.11,2017-09-04,0.8,2017-11-10,138.417
2017-09-11,41.82,47.630001,10.85,2017-09-11,106.46,2017-09-25,6.62,2017-09-22,67.98,2017-09-11,3.12,2017-09-11,0.8,2017-11-17,138.153
2017-09-18,41.68,47.82,10.16,2017-09-18,106.73,2017-10-09,6.61,2017-09-29,63.42,2017-09-18,3.13,2017-09-18,0.8,2017-11-24,139.849
2017-09-25,40.529999,47.189999,10.07,2017-09-25,107.84,2017-10-16,6.6,2017-10-06,61.97,2017-09-25,3.17,2017-09-25,0.79,2017-12-01,141.355
2017-10-02,41.34,49.080002,10.13,2017-10-02,107.24,2017-10-23,6.63,2017-10-13,61.19,2017-10-02,3.15,2017-10-02,0.78,2017-12-08,142.176
2017-10-09,42.200001,50.009998,10.45,2017-10-09,106.94,2017-10-30,6.63,2017-10-20,62.25,2017-10-09,3.17,2017-10-09,0.78,2017-12-15,143.387
2017-10-16,41.27,48.369999,10.28,2017-10-16,107.77,2017-11-06,6.63,2017-10-27,61.64,2017-10-16,3.17,2017-10-16,0.78,2017-12-22,145.37
2017-10-23,40.66,47.450001,10.01,2017-10-23,108.14,2017-11-13,6.63,2017-11-03,59.26,2017-10-23,3.25,2017-10-23,0.77,2017-12-29,146.551
2017-10-30,42.150002,49.240002,10.09,2017-10-30,109.59,2017-11-20,6.62,2017-11-10,62.64,2017-10-30,3.28,2017-10-30,0.77,2018-01-05,149.232
2017-11-06,42.779999,49.509998,10.07,2017-11-06,111.69,2017-11-27,6.6,2017-11-17,62.28,2017-11-06,3.26,2017-11-06,0.77,2018-01-12,151.97
2017-11-13,41.380001,47.59,10.11,2017-11-13,111.87,2017-12-04,6.62,2017-11-24,65.35,2017-11-13,3.29,2017-11-13,0.76,2018-01-19,153.6086
2017-11-20,42.709999,49.43,10.98,2017-11-20,110.92,2017-12-11,6.61,2017-12-01,68.24,2017-11-20,3.24,2017-11-20,0.76,2018-01-26,151.822
2017-11-27,41.959999,48.299999,10.9,2017-11-27,112.09,2017-12-18,6.6,2017-12-08,69.77,2017-11-27,3.24,2017-11-27,0.76,2018-02-02,151.428
2017-12-04,41.060001,47.169998,10.78,2017-12-04,110.98,2017-12-25,6.55,2017-12-15,70.47,2017-12-04,3.26,2017-12-04,0.76,2018-02-09,152.381
2017-12-11,43.080002,49.119999,11.17,2017-12-11,111.36,2018-01-01,6.5,2017-12-22,74.02,2017-12-11,3.31,2017-12-11,0.76,2018-03-02,159.562
2017-12-18,45,51.09,11.92,2017-12-18,112.61,2018-01-08,6.5,2017-12-29,73.77,2017-12-18,3.31,2017-12-18,0.77,2018-03-09,158.322
2017-12-25,45.990002,52.93,12.23,2017-12-25,114.3,2018-01-15,6.44,2018-01-05,75.49,2017-12-25,3.32,2017-12-25,0.78,2018-03-16,159.726
2018-01-01,48.139999,54.540001,13.09,2018-01-01,116.09,2018-01-22,6.38,2018-01-12,78.33,2018-01-01,3.25,2018-01-01,0.78,2018-03-23,161.354
2018-01-08,50.689999,57.669998,13.53,2018-01-08,117.45,2018-01-29,6.32,2018-01-19,75.69,2018-01-08,3.23,2018-01-08,0.79,2018-03-30,162.818
2018-01-15,49.650002,56.049999,13.36,2018-01-15,118.63,2018-02-05,6.3,2018-01-26,75.47,2018-01-15,3.21,2018-01-15,0.8,2018-04-06,161.1613
2018-01-22,50,56.310001,13.11,2018-01-22,119.94,2018-02-12,6.32,2018-02-02,73.5,2018-01-22,3.18,2018-01-22,0.8,2018-04-13,160.4297
2018-01-29,47.830002,54.330002,12.54,2018-01-29,120.29,2018-02-19,6.35,2018-02-09,76.54,2018-01-29,3.18,2018-01-29,0.8,2018-04-20,159.8318
2018-02-05,45.759998,53.720001,12.91,2018-02-05,117.75,2018-02-26,6.33,2018-02-16,77.61,2018-02-05,3.27,2018-02-05,0.78,2018-04-27,159.08
2018-02-12,48.689999,57.82,14.12,2018-02-12,113.67,2018-03-05,6.34,2018-02-23,78.51,2018-02-12,3.25,2018-02-12,0.79,2018-05-03,160.16
2018-02-19,48.299999,57.07,14.2,2018-02-19,115.42,2018-03-12,6.32,2018-03-02,79.13,2018-02-19,3.25,2018-02-19,0.79,2018-05-11,158.76
2018-02-26,45.43,51.48,13.39,2018-02-26,116.03,2018-03-19,6.33,2018-03-09,74.45,2018-02-26,3.25,2018-02-26,0.78,2018-05-18,157.56
2018-03-05,45.279999,52.07,12.89,2018-03-05,114.86,2018-03-26,6.29,2018-03-16,70.66,2018-03-05,3.24,2018-03-05,0.78,2018-05-25,158.89
2018-03-12,45.419998,52.580002,12.8,2018-03-12,114.15,2018-04-02,6.28,2018-03-23,66.68,2018-03-12,3.27,2018-03-12,0.78,2018-06-01,160.4
2018-03-19,44,50.509998,12.51,2018-03-19,114.81,2018-04-09,6.3,2018-03-30,64.21,2018-03-19,3.3,2018-03-19,0.77,2018-06-08,159.15
2018-03-26,44.43,51.529999,12.72,2018-03-26,115.95,2018-04-16,6.28,2018-04-06,64.05,2018-03-26,3.31,2018-03-26,0.77,2018-06-15,157.23
2018-04-02,43.639999,50.549999,12.66,2018-04-02,115.63,2018-04-23,6.32,2018-04-13,64.69,2018-04-02,3.34,2018-04-02,0.77,2018-06-22,154.9
2018-04-09,46.799999,54.259998,13.12,2018-04-09,116.51,2018-04-30,6.36,2018-04-20,65.97,2018-04-09,3.41,2018-04-09,0.77,2018-06-29,155.79
2018-04-16,47.700001,56.599998,14,2018-04-16,119.17,2018-05-07,6.37,2018-04-27,66.5,2018-04-16,3.4,2018-04-16,0.77,,
2018-04-23,46.529999,55.139999,13.95,2018-04-23,119.83,2018-05-14,6.36,2018-05-04,66.43,2018-04-23,3.47,2018-04-23,0.76,,
2018-04-30,48.27,55.619999,14.08,2018-04-30,120.3,2018-05-21,6.38,2018-05-11,66.95,2018-04-30,3.52,2018-04-30,0.75,,
2018-05-07,50.41,57.389999,14.61,2018-05-07,121.7,2018-05-28,6.41,2018-05-18,67.93,2018-05-07,3.57,2018-05-07,0.75,,
2018-05-14,50.810001,58.41,14.58,2018-05-14,124.83,2018-06-04,6.41,2018-05-25,64.66,2018-05-14,3.68,2018-05-14,0.75,,
2018-05-21,49.02,56.98,14.03,2018-05-21,126.18,2018-06-11,6.41,2018-06-01,65.29,2018-05-21,3.65,2018-05-21,0.76,,
2018-05-28,50.240002,57.540001,14.03,2018-05-28,124.83,2018-06-18,6.46,2018-06-08,66.3,2018-05-28,3.73,2018-05-28,0.76,,
2018-06-04,51.669998,59.220001,13.75,2018-06-04,124.39,2018-06-25,6.56,2018-06-15,67.37,2018-06-04,3.8,2018-06-04,0.76,,
2018-06-11,48.700001,56.790001,13.17,2018-06-11,124.41,2018-07-02,6.62,2018-06-22,66.13,2018-06-11,3.74,2018-06-11,0.75,,
2018-06-18,48.93,55.459999,12.81,2018-06-18,122.9,,,2018-06-29,65.23,2018-06-18,3.76,2018-06-18,0.74,,
2018-06-25,50.009998,55.48,12.82,2018-06-25,121.65,,,,,2018-06-25,3.84,2018-06-25,0.74,,
2018-06-29,50.009998,55.48,12.82,2018-07-02,123.41,,,,,2018-07-02,3.91,2018-07-02,0.74,,
