,date,US_income,aluminium,copper,yeon,a-yeon,juseok,nikel,BHP_close,RIO_close,VALE_close,PDS,RMB,Price,BRL,AUD,Inv
1,2015.1.5,1228428,447.125,1496.75,466.25,530.75,5304.875,3781.25,46.93,45.53,8.55,98.22,6.13,68.92,2.68,0.81,99.77
2,2015.1.12,1073762,450.375,1468.25,460.25,528.75,5012.125,3722.25,46.14,44.2,8.41,93.71,6.12,67.45,2.64,0.82,98.48
3,2015.1.19,919097.1,453.625,1439.75,454.25,526.75,4719.375,3663.25,45.5,43.08,7.85,93.25,6.13,63.12,2.6,0.81,96.69
4,2015.1.26,764431.9,456.875,1411.25,448.25,524.75,4426.625,3604.25,46.33,44.13,7.03,93.87,6.13,62.47,2.61,0.79,98.29
5,2015.2.2,874280.8,473.25,1341.5,458.75,553.5,4884.625,3929.625,48.29,46.24,7.35,95.68,6.13,62.24,2.74,0.78,99.38
6,2015.2.9,852603.2,461.25,1397.5,453.75,535,4676.875,3732.375,51.19,49.37,8.05,99.94,6.13,63.91,2.83,0.78,100.28
7,2015.2.16,830925.8,449.25,1453.5,448.75,516.5,4469.125,3535.125,50.48,49.94,7.83,103.17,6.13,63.06,2.84,0.78,99.19
8,2015.2.23,809248.2,437.25,1509.5,443.75,498,4261.375,3337.875,52.52,49.33,7.42,102.72,6.14,61.25,2.87,0.78,100.13
9,2015.3.2,697663.6,337,1144,271,334.6,4082.2,3134.4,49.35,44.23,6.42,103.33,6.15,57.99,2.98,0.78,97.24
10,2015.3.9,676866.6,345.8,1164.6,314,370.2,3787.2,2941.8,44.55,41.9,5.82,102.29,6.16,56.2,3.15,0.77,97.37
11,2015.3.16,656069.6,354.6,1185.2,357,405.8,3492.2,2749.2,48.06,43.58,6.26,99.69,6.15,55,3.24,0.77,97.58
12,2015.3.23,635272.6,363.4,1205.8,400,441.4,3197.2,2556.6,47.1,41.88,5.67,99.44,6.14,50.16,3.18,0.78,97.16
13,2015.3.30,614475.6,372.2,1226.4,443,477,2902.2,2364,45.56,41.2,5.76,100.86,6.14,47.81,3.17,0.76,95.07
14,2015.4.6,829161.1,458.75,1405.25,498.5,520.625,4056.125,2923.5,45.82,41.45,6.04,100.93,6.13,50.13,3.09,0.77,89.91
15,2015.4.13,805780.9,455.75,1473.25,499.5,541.375,4016.375,3105,46.44,42.02,5.87,102.63,6.13,53.86,3.06,0.77,86.56
16,2015.4.20,782400.6,452.75,1541.25,500.5,562.125,3976.625,3286.5,51.04,45.72,7.92,106.4,6.13,58.07,3,0.78,84.92
17,2015.4.27,759020.4,449.75,1609.25,501.5,582.875,3936.875,3468,51.92,45.87,8.07,108.56,6.12,59.78,2.97,0.79,83.31
18,2015.5.4,872019,496.625,1750.375,564,648.25,4261.25,3650.625,50.8,46.11,7.63,110.14,6.11,62.42,3.04,0.79,82.73
19,2015.5.11,804480,466.375,1633.625,522,597.75,4058.25,3468.375,51.55,46.13,7.12,110.29,6.11,58.83,3.02,0.8,80.74
20,2015.5.18,736941,436.125,1516.875,480,547.25,3855.25,3286.125,45.87,44.88,6.57,110.02,6.11,62.25,3.04,0.79,79.62
21,2015.5.25,669402,405.875,1400.125,438,496.75,3652.25,3103.875,44.63,43.77,6.3,107.68,6.12,63.89,3.15,0.77,78.71
22,2015.6.1,495351.6,355.2,1317.6,396.8,452,3024.2,3113.6,42.91,43.63,6.51,106.16,6.12,64.95,3.15,0.77,81.77
23,2015.6.8,528944.4,346,1242.2,382,434.8,3013.6,2834.8,43.3,44.04,6.81,105.89,6.12,62.36,3.11,0.77,82.01
24,2015.6.15,562537.2,336.8,1166.8,367.2,417.6,3003,2556,43.81,43.16,6.51,106.99,6.11,61.62,3.09,0.78,81.15
25,2015.6.22,596130,327.6,1091.4,352.4,400.4,2992.4,2277.2,42.69,42.84,6.23,106.15,6.11,58.15,3.1,0.77,81.75
26,2015.6.29,629722.8,318.4,1016,337.6,383.2,2981.8,1998.4,41.29,41.04,5.85,105.47,6.12,49.11,3.12,0.76,80.68
27,2015.7.6,821440.9,446.25,1502.25,466.375,572.5,3640.375,3238,39.47,39.14,5.43,102.39,6.12,50.39,3.19,0.75,81.56
28,2015.7.13,770588.6,421.75,1410.25,449.125,524.5,3707.125,2977,39.56,40.35,5.46,100.45,6.12,51.88,3.15,0.74,81.67
29,2015.7.20,719736.4,397.25,1318.25,431.875,476.5,3773.875,2716,36.3,37.39,5.05,98.67,6.12,54.15,3.25,0.74,81.04
30,2015.7.27,668884.1,372.75,1226.25,414.625,428.5,3840.625,2455,38.37,38.62,5.26,96.28,6.12,56.03,3.37,0.73,80.59
31,2015.8.3,637871.4,288.4,970.2,343,398.4,2945,2246,38.64,39.8,5.28,93.42,6.12,56.57,3.49,0.74,79.94
32,2015.8.10,596659.8,298.2,994,340.8,380.2,2995.4,2157.2,37.88,38.59,5.23,92.07,6.3,56.39,3.48,0.74,81.25
33,2015.8.17,555448.2,308,1017.8,338.6,362,3045.8,2068.4,34.68,35.99,4.75,90.63,6.39,54.07,3.48,0.73,82.9
34,2015.8.24,514236.6,317.8,1041.6,336.4,343.8,3096.2,1979.6,36.69,36.6,4.83,86.2,6.4,56.5,3.58,0.71,85.52
35,2015.8.31,473025,327.6,1065.4,334.2,325.6,3146.6,1890.8,33.75,34.23,4.73,88.69,6.38,57.87,3.73,0.7,80.93
36,2015.9.7,572558.2,421.625,1296.375,404.375,426.375,3732.625,2307.25,34.07,37.21,4.98,88.97,6.37,57.53,3.83,0.7,84.27
37,2015.9.14,619383.2,405.375,1300.125,415.125,428.625,3824.375,2418.75,34.6,35.52,4.98,88.68,6.37,56.45,3.87,0.72,83.87
38,2015.9.21,666208.2,389.125,1303.875,425.875,430.875,3916.125,2530.25,31.87,33.6,4.52,88.07,6.37,55.68,4.02,0.7,84.45
39,2015.9.28,713033.2,372.875,1307.625,436.625,433.125,4007.875,2641.75,33.06,34.78,4.48,87.59,6.37,54.28,4.01,0.7,87.11
40,2015.10.5,889352.1,402.75,1461.375,472.125,486.75,4376.375,3003,37.76,39.74,5.48,88.49,6.35,54.84,3.84,0.72,87.13
41,2015.10.12,756197.9,388.25,1357.625,444.875,450.25,4100.125,2725,36.06,38.36,4.79,90.61,6.34,52.56,3.84,0.73,86.58
42,2015.10.19,623043.6,373.75,1253.875,417.625,413.75,3823.875,2447,35.75,38.29,4.73,88.46,6.35,50.39,3.91,0.72,89.17
43,2015.10.26,489889.4,359.25,1150.125,390.375,377.25,3547.625,2169,32.89,36.51,4.36,87.02,6.35,48.94,3.88,0.72,91.49
44,2015.11.2,485456.4,282,1033.2,289.2,340.4,2965,2062.4,30.75,34.72,4.14,87.23,6.33,48.19,3.8,0.71,92.09
45,2015.11.9,465314.8,287.6,997.4,306.2,328.4,2956.8,1954.4,28.41,34.24,3.97,85.71,6.36,46,3.79,0.71,94.29
46,2015.11.16,445173.2,293.2,961.6,323.2,316.4,2948.6,1846.4,29.1,34.68,3.8,83.42,6.38,44.24,3.78,0.71,97.43
47,2015.11.23,425031.6,298.8,925.8,340.2,304.4,2940.4,1738.4,26.98,33.11,3.57,83.51,6.39,41.42,3.75,0.72,96.08
48,2015.11.30,404890,304.4,890,357.2,292.4,2932.2,1630.4,26.48,31.75,3.28,83.04,6.39,38.72,3.82,0.73,99.06
49,2015.12.7,427313.6,379.125,1219.5,445.5,384.25,4022.375,2251.375,23.81,28.53,3.15,81.08,6.42,39.43,3.8,0.72,100.63
50,2015.12.14,496630.9,375.375,1178,432,381.75,3791.125,2199.125,23.93,27.38,3.2,78.25,6.47,40.77,3.91,0.72,100.05
51,2015.12.21,565948.1,371.625,1136.5,418.5,379.25,3559.875,2146.875,26.14,29.72,3.3,77.37,6.47,42.65,3.97,0.72,98.41
52,2015.12.28,635265.4,367.875,1095,405,376.75,3328.625,2094.625,25.76,29.12,3.29,78.43,6.49,43.03,3.91,0.73,96.57
53,2016.1.4,727149,348.375,1066.25,364.875,303.375,2740.375,2185.625,21.96,25.07,2.6,77.45,6.54,40.67,4.03,0.71,98.13
54,2016.1.11,642787.5,362.625,1099.25,396.125,353.125,3209.625,2142.375,20.19,23.62,2.37,74.12,6.56,42.11,4.03,0.7,98.19
55,2016.1.18,558426,376.875,1132.25,427.375,402.875,3678.875,2099.125,21.48,23.77,2.27,70.23,6.56,41.74,4.09,0.69,97.86
56,2016.1.25,474064.5,391.125,1165.25,458.625,452.625,4148.125,2055.875,21.91,24.65,2.45,71.84,6.55,44.55,4.07,0.7,96.95
57,2016.2.1,295239.8,309.2,777.8,340,304.6,2594,1504.4,22.58,26.21,2.61,74.03,6.55,45.73,3.93,0.71,97.5
58,2016.2.8,354118,308.2,848.4,347.2,323.4,2862.4,1583.2,22.72,26.52,2.63,72.76,6.52,47.01,3.94,0.71,96.31
59,2016.2.15,412996.2,307.2,919,354.4,342.2,3130.8,1662,23.98,27.37,2.94,72.91,6.53,50.56,4.02,0.71,99.43
60,2016.2.22,471874.4,306.2,989.6,361.6,361,3399.2,1740.8,22.56,25.52,2.71,73.34,6.54,51.7,3.96,0.72,100.72
61,2016.2.29,530752.6,305.2,1060.2,368.8,379.8,3667.6,1819.6,27.68,30.32,4.38,75.71,6.51,60.08,3.88,0.73,99.14
62,2016.3.7,629706.6,370.375,1273.375,481.625,433.625,4222,2176,27.22,29.11,3.83,79.18,6.5,55.12,3.69,0.75,99.39
63,2016.3.14,603130.9,378.625,1249.125,461.875,445.375,4240,2176,27.42,29.13,4.17,80.97,6.5,57.86,3.68,0.76,100.08
64,2016.3.21,576555.1,386.875,1224.875,442.125,457.125,4258,2176,25.64,27.71,4.04,82.4,6.49,54.72,3.65,0.76,100.67
65,2016.3.28,549979.4,395.125,1200.625,422.375,468.875,4276,2176,25.65,28.17,4.32,81.87,6.47,54.57,3.61,0.76,99.37
66,2016.4.4,429646.1,394,1266.375,437.875,455.875,4387.75,2181.625,24.77,27.99,4.48,81.92,6.47,58.8,3.65,0.76,101.78
67,2016.4.11,518726.9,392,1230.625,434.125,460.625,4307.25,2177.875,28.91,31.67,5.29,83.92,6.48,64.95,3.5,0.77,101.86
68,2016.4.18,607807.6,390,1194.875,430.375,465.375,4226.75,2174.125,31.82,33.56,5.42,85.52,6.49,63.82,3.55,0.78,100.17
69,2016.4.25,696888.4,388,1159.125,426.625,470.125,4146.25,2170.375,31.34,33.66,5.67,87.73,6.5,60.51,3.51,0.77,100.7
70,2016.5.2,541642.4,296.8,972.4,342.8,313.4,3253.6,1647.4,27.93,30.9,4.78,88.81,6.52,55.08,3.53,0.75,100.57
71,2016.5.9,531760.4,304,957,342.8,343.8,3301.4,1692.6,26.6,28.29,4.13,87.56,6.54,55.05,3.49,0.73,102.68
72,2016.5.16,521878.4,311.2,941.6,342.8,374.2,3349.2,1737.8,26.84,28.31,3.98,89.4,6.55,50.72,3.54,0.73,104.61
73,2016.5.23,511996.4,318.4,926.2,342.8,404.6,3397,1783,27.5,28.73,3.98,89.62,6.58,49.42,3.58,0.72,106.57
74,2016.5.30,502114.4,325.6,910.8,342.8,435,3444.8,1828.2,27.81,28.34,4.61,89.73,6.56,52.27,3.58,0.73,108.4
75,2016.6.6,488896.4,383.75,1073.375,383.125,445,3928.25,1727.375,26.73,27.94,4.41,91.29,6.58,51.18,3.42,0.74,108.84
76,2016.6.13,589629.1,393.25,1129.625,413.375,485.5,4140.25,2061.625,27.71,29.19,4.46,90.98,6.57,51.34,3.46,0.74,108.64
77,2016.6.20,690361.9,402.75,1185.875,443.625,526,4352.25,2395.875,27.23,28.76,4.55,90.36,6.64,54.28,3.38,0.75,108.21
78,2016.6.27,791094.6,412.25,1242.125,473.875,566.5,4564.25,2730.125,28.62,31.57,5.16,90.74,6.67,55.66,3.28,0.74,107.54
79,2016.7.4,812321.8,403,1250.75,457.25,509.5,4240.75,2524.75,29.34,31.59,4.95,91.02,6.69,58.22,3.32,0.75,106.41
80,2016.7.11,764592.8,406,1226.25,458.25,534,4385.75,2550.25,30.5,32.86,5.36,89.42,6.69,56.33,3.27,0.76,105.4
81,2016.7.18,716863.8,409,1201.75,459.25,558.5,4530.75,2575.75,28.55,31.35,5.31,89.03,6.67,58.73,3.26,0.75,104.24
82,2016.7.25,669134.8,412,1177.25,460.25,583,4675.75,2601.25,29.69,32.82,5.75,87.15,6.64,61.22,3.27,0.75,103.46
83,2016.8.1,656016.6,349.2,972,326.6,452.6,3219.4,2137.2,31.02,32.74,6.02,85.56,6.65,60.47,3.23,0.76,104.01
84,2016.8.8,605208,338.8,961.8,347.2,454.6,3451,2104,30.97,31.08,5.64,86.82,6.63,60.96,3.16,0.77,102.72
85,2016.8.15,554399.4,328.4,951.6,367.8,456.6,3682.6,2070.8,31.94,32.06,5.97,88.98,6.66,61.05,3.21,0.77,106.48
86,2016.8.22,503590.8,318,941.4,388.4,458.6,3914.2,2037.6,32.09,31.54,5.45,90.45,6.68,59.13,3.23,0.76,104.61
87,2016.8.29,452782.2,307.6,931.2,409,460.6,4145.8,2004.4,30.62,31.13,5.6,89.52,6.67,58.56,3.24,0.75,105.68
88,2016.9.5,650708.6,369.75,1167.375,448.75,565.375,4663.625,2517.75,30.74,30.74,5.19,88.69,6.68,56,3.23,0.76,106.86
89,2016.9.12,636561.9,388.25,1173.625,473.25,570.625,4816.375,2537.25,29.97,29.9,5.03,89.85,6.67,56.09,3.3,0.75,108.29
90,2016.9.19,622415.1,406.75,1179.875,497.75,575.875,4969.125,2556.75,32.54,32.41,5.42,89.36,6.67,56.48,3.24,0.76,111.19
91,2016.9.26,608268.4,425.25,1186.125,522.25,581.125,5121.875,2576.25,34.65,33.4,5.5,90.39,6.72,55.86,3.24,0.77,109.09
92,2016.10.3,458681,304.4,662,352.4,360.8,3619.2,1702.4,35.36,33.16,5.57,92.11,6.74,57.09,3.23,0.76,111.35
93,2016.10.10,475477.2,318.6,804.2,380.2,411.8,3827.8,1877.8,33.99,31.77,5.58,94.47,6.77,58.55,3.2,0.76,110.73
94,2016.10.17,492273.4,332.8,946.4,408,462.8,4036.4,2053.2,34.96,32.87,6.26,94.38,6.76,62.26,3.17,0.77,112.12
95,2016.10.24,509069.6,347,1088.6,435.8,513.8,4245,2228.6,34.87,34.53,6.9,93.84,6.79,65.1,3.15,0.76,112.43
96,2016.10.31,525865.8,361.2,1230.8,463.6,564.8,4453.6,2404,33.98,33.93,6.67,93.12,6.86,72.13,3.24,0.77,112.99
97,2016.11.7,672912.2,435.25,1277.125,525.25,603.625,5279.625,2834.5,37.5,39.08,7.69,91.97,6.9,73.84,3.28,0.77,111.65
98,2016.11.14,648528.8,434.25,1332.875,538.25,629.375,5297.375,2802,35.48,36.55,7.24,93.3,6.89,75.53,3.43,0.75,114.39
99,2016.11.21,624145.2,433.25,1388.625,551.25,655.125,5315.125,2769.5,38.74,39.35,8.42,94.49,6.88,77.27,3.4,0.74,117.32
100,2016.11.28,599761.8,432.25,1444.375,564.25,680.875,5332.875,2737,38.02,39.02,8.44,96.25,6.92,80.81,3.46,0.74,118.99
101,2016.12.5,572496.4,410.25,1389.875,555.5,652.625,5528.75,3139.125,38.48,41.15,8.78,100.36,6.94,81.83,3.39,0.75,119.51
102,2016.12.12,598801.1,425.25,1407.625,557,662.875,5392.25,2881.875,36.4,38.76,8.17,101.39,6.95,78.86,3.36,0.74,128.2
103,2016.12.19,625105.9,440.25,1425.375,558.5,673.125,5255.75,2624.625,35.41,38.12,7.71,101.33,6.93,79.85,3.32,0.72,129.31
104,2016.12.26,651410.6,455.25,1443.125,560,683.375,5119.25,2367.375,35.78,38.46,7.62,102.72,6.92,77.59,3.27,0.72,130.81
105,2017.1.2,544117,331.8,1065.4,413.4,488.6,4653.2,1742.4,36.96,38.39,7.99,103.02,6.87,79.82,3.24,0.73,131.66
106,2017.1.9,527361.8,345,1106.4,430.4,515.6,4401.6,1869.6,39.84,42.04,9.58,104.21,6.85,81.73,3.2,0.74,131.29
107,2017.1.16,510606.6,358.2,1147.4,447.4,542.6,4150,1996.8,39.93,42.93,10.03,105.26,6.86,82.6,3.21,0.75,131.82
108,2017.1.23,493851.4,371.4,1188.4,464.4,569.6,3898.4,2124,41.24,45.35,10.67,105.98,6.87,83.05,3.16,0.76,133.63
109,2017.1.30,477096.2,384.6,1229.4,481.4,596.6,3646.8,2251.2,39.39,42.67,9.73,106.86,6.87,83.58,3.13,0.76,134.56
110,2017.2.6,380165.8,447.375,1530.5,597.375,736.75,4745.5,2801.25,40.09,45.41,10.46,107.25,6.87,91.08,3.12,0.76,133.74
111,2017.2.13,538264.8,458.625,1500.5,586.125,720.25,4830.5,2703.75,40.28,45.5,10.97,106.95,6.88,92.67,3.09,0.77,132.36
112,2017.2.20,696363.8,469.875,1470.5,574.875,703.75,4915.5,2606.25,37.97,41.69,10.52,106.01,6.9,91.71,3.08,0.77,131.35
113,2017.2.27,854462.8,481.125,1440.5,563.625,687.25,5000.5,2508.75,39.06,41.79,10.18,105.54,6.9,88.05,3.11,0.76,133.33
114,2017.3.6,798546.2,464.625,1502,586.5,751.375,4898.375,2767.875,35.64,39.39,9.47,104.2,6.89,90.46,3.15,0.75,136.06
115,2017.3.13,783124.2,471.875,1471,575,714.125,4938.125,2627.625,38.18,43.03,10.13,100.99,6.89,87.1,3.13,0.76,137.93
116,2017.3.20,767702.2,479.125,1440,563.5,676.875,4977.875,2487.375,36.51,40.84,9.3,101.11,6.89,81.6,3.1,0.77,139.42
117,2017.3.27,752280.2,486.375,1409,552,639.625,5017.625,2347.125,36.32,40.68,9.5,100.4,6.89,79.34,3.13,0.76,140.27
118,2017.4.3,720634.6,489.125,1464.25,594.875,674.375,4907.75,2610.375,36.97,40.61,9.23,102.06,6.88,71.45,3.12,0.76,140.14
119,2017.4.10,746872.4,484.875,1437.75,570.125,663.625,4967.75,2481.625,36.09,38.94,8.72,103.22,6.88,65.53,3.14,0.75,144.11
120,2017.4.17,773110.1,480.625,1411.25,545.375,652.875,5027.75,2352.875,35.76,39.53,8.87,102.29,6.89,66.89,3.13,0.75,142.36
121,2017.4.24,799347.9,476.375,1384.75,520.625,642.125,5087.75,2224.125,35.6,39.82,8.58,99.66,6.9,66.08,3.16,0.75,145.39
122,2017.5.1,463347.6,393.6,1075.6,426.8,525.2,4257.8,1920,34.49,38.9,8.17,98.4,6.87,60.67,3.17,0.75,144.13
123,2017.5.8,546165.4,388.2,1097,426.6,521.6,4152,1875.4,35.2,38.69,8.26,96.12,6.87,61.69,3.16,0.74,142.29
124,2017.5.15,628983.2,382.8,1118.4,426.4,518,4046.2,1830.8,36.71,41.38,8.42,96.97,6.83,60.77,3.19,0.74,142.87
125,2017.5.22,711801,377.4,1139.8,426.2,514.4,3940.4,1786.2,35.84,40.98,8.53,98.67,6.79,57.56,3.27,0.75,143.2
126,2017.5.29,794618.8,372,1161.2,426,510.8,3834.6,1741.6,35.47,40.8,8.21,96.7,6.79,55.63,3.25,0.74,142.31
127,2017.6.5,1039635,465.375,1319.75,482.125,563.125,4711.375,2026.125,35.39,41.73,8.31,94.87,6.81,54.73,3.28,0.75,140.37
128,2017.6.12,939712.5,469.625,1389.75,515.875,616.375,4854.125,2163.875,34.7,39.3,7.88,93.95,6.81,56.57,3.3,0.76,138.34
129,2017.6.19,839790,473.875,1459.75,549.625,669.625,4996.875,2301.625,34.16,39.17,8.17,92.96,6.79,62.25,3.33,0.76,136.35
130,2017.6.26,739867.5,478.125,1529.75,583.375,722.875,5139.625,2439.375,35.59,42.31,8.75,93.04,6.79,63.11,3.3,0.76,134.73
131,2017.7.3,671099,330.4,996.2,416.8,478.2,3935.8,1348,37.22,43.5,8.77,95,6.75,65.03,3.3,0.76,134.19
132,2017.7.10,651481,355.6,1096,435,517.6,3995.2,1622.2,39.4,45.17,9.25,94.34,6.74,68.22,3.22,0.77,133.9
133,2017.7.17,631863,380.8,1195.8,453.2,557,4054.6,1896.4,38.79,44.14,9.02,95.92,6.72,69.34,3.15,0.79,132.61
134,2017.7.24,612245,406,1295.6,471.4,596.4,4114,2170.6,41.14,46.61,9.67,97.32,6.7,73.42,3.15,0.8,131.74
135,2017.7.31,592627,431.2,1395.4,489.6,635.8,4173.4,2444.8,41.21,46.83,9.97,99.13,6.67,75.88,3.12,0.8,133.57
136,2017.8.7,863358.2,481.25,1580.125,581.75,693.75,5035.625,2570.375,40.35,44.61,9.69,100.25,6.66,74.94,3.16,0.79,131.47
137,2017.8.14,797990.2,498.75,1606.375,586.75,728.25,5106.875,2665.625,40.4,44.64,10.03,100.27,6.61,78.59,3.17,0.79,131.78
138,2017.8.21,732622.2,516.25,1632.625,591.75,762.75,5178.125,2760.875,42.56,47.69,10.68,101.63,6.53,77.13,3.16,0.79,135.94
139,2017.8.28,667254.2,533.75,1658.875,596.75,797.25,5249.375,2856.125,44.16,49.53,11.3,102.72,6.53,76.61,3.16,0.79,137.42
140,2017.9.4,678830.2,513.75,1565.5,545.875,722.25,5358.5,2774.375,42.99,48.27,11.11,104.58,6.57,74.71,3.11,0.8,138.417
141,2017.9.11,692902.2,521.25,1619,578.125,760.75,5262,2797.125,41.82,47.63,10.85,106.46,6.62,67.98,3.12,0.8,138.153
142,2017.9.18,706974.2,528.75,1672.5,610.375,799.25,5165.5,2819.875,41.68,47.82,10.16,106.73,6.61,63.42,3.13,0.8,139.849
143,2017.9.25,721046.2,536.25,1726,642.625,837.75,5069,2842.625,40.53,47.19,10.07,107.84,6.6,61.97,3.17,0.79,141.355
144,2017.10.2,711433,437.6,1347.8,518,670,4451.4,1997.8,41.34,49.08,10.13,107.24,6.63,61.19,3.15,0.78,142.176
145,2017.10.9,641320.6,431.8,1353.6,509.6,662.4,4272.6,2131.4,42.2,50.01,10.45,106.94,6.63,62.25,3.17,0.78,143.387
146,2017.10.16,571208.2,426,1359.4,501.2,654.8,4093.8,2265,41.27,48.37,10.28,107.77,6.63,61.64,3.17,0.78,145.37
147,2017.10.23,501095.8,420.2,1365.2,492.8,647.2,3915,2398.6,40.66,47.45,10.01,108.14,6.63,59.26,3.25,0.77,146.551
148,2017.10.30,430983.4,414.4,1371,484.4,639.6,3736.2,2532.2,42.15,49.24,10.09,109.59,6.62,62.64,3.28,0.77,149.232
149,2017.11.6,732349.6,536.5,1715.875,599.125,825.5,4944.375,3217.25,42.78,49.51,10.07,111.69,6.6,62.28,3.26,0.77,151.97
150,2017.11.13,661696.4,529,1709.625,610.375,814.5,4910.625,3071.25,41.38,47.59,10.11,111.87,6.62,65.35,3.29,0.76,153.6086
151,2017.11.20,591043.1,521.5,1703.375,621.625,803.5,4876.875,2925.25,42.71,49.43,10.98,110.92,6.61,68.24,3.24,0.76,151.822
152,2017.11.27,520389.9,514,1697.125,632.875,792.5,4843.125,2779.25,41.96,48.3,10.9,112.09,6.6,69.77,3.24,0.76,151.428
153,2017.12.4,409844.9,463.75,1595.625,596.875,702.375,4383.375,2300.625,41.06,47.17,10.78,110.98,6.55,70.47,3.26,0.76,152.381
154,2017.12.11,507092.6,499.75,1665.375,617.125,766.125,4701.125,2668.375,43.08,49.12,11.17,111.36,6.5,74.02,3.31,0.76,159.562
155,2017.12.18,604340.4,535.75,1735.125,637.375,829.875,5018.875,3036.125,45,51.09,11.92,112.61,6.5,73.77,3.31,0.77,158.322
156,2017.12.25,701588.1,571.75,1804.875,657.625,893.625,5336.625,3403.875,45.99,52.93,12.23,114.3,6.44,75.49,3.32,0.78,159.726
157,2018.1.1,667922.6,455,1447.2,521.6,652.2,3749,2297.2,48.14,54.54,13.09,116.09,6.38,78.33,3.25,0.78,161.354
158,2018.1.8,595147,449,1431.6,519.8,670.8,3945.6,2436.6,50.69,57.67,13.53,117.45,6.32,75.69,3.23,0.79,162.818
159,2018.1.15,522371.4,443,1416,518,689.4,4142.2,2576,49.65,56.05,13.36,118.63,6.3,75.47,3.21,0.8,161.1613
160,2018.1.22,449595.8,437,1400.4,516.2,708,4338.8,2715.4,50,56.31,13.11,119.94,6.32,73.5,3.18,0.8,160.4297
161,2018.1.29,376820.2,431,1384.8,514.4,726.6,4535.4,2854.8,47.83,54.33,12.54,120.29,6.35,76.54,3.18,0.8,159.8318
162,2018.2.5,271231.4,586.75,1827.75,714.25,982.5,5603.5,3459.125,45.76,53.72,12.91,117.75,6.33,77.61,3.27,0.78,159.08
163,2018.2.12,465073.6,559.75,1776.25,668.25,917.5,5483.5,3415.875,48.69,57.82,14.12,113.67,6.34,78.51,3.25,0.79,160.16
164,2018.2.19,658915.9,532.75,1724.75,622.25,852.5,5363.5,3372.625,48.3,57.07,14.2,115.42,6.32,79.13,3.25,0.79,158.76
165,2018.2.26,852758.1,505.75,1673.25,576.25,787.5,5243.5,3329.375,45.43,51.48,13.39,116.03,6.33,74.45,3.25,0.78,157.56
166,2018.3.5,612505.6,455.875,1682.875,614.25,853.375,5256.25,3151.875,45.28,52.07,12.89,114.86,6.29,70.66,3.24,0.78,158.89
167,2018.3.12,708059.9,498.125,1693.625,604.25,831.125,5287.75,3284.625,45.42,52.58,12.8,114.15,6.28,66.68,3.27,0.78,160.4
168,2018.3.19,803614.1,540.375,1704.375,594.25,808.875,5319.25,3417.375,44,50.51,12.51,114.81,6.3,64.21,3.3,0.77,159.15
169,2018.3.26,899168.4,582.625,1715.125,584.25,786.625,5350.75,3550.125,44.43,51.53,12.72,115.95,6.28,64.05,3.31,0.77,157.23
170,2018.4.2,980243,431.2,1374.6,468.6,691.4,4444,2618.6,43.64,50.55,12.66,115.63,6.32,64.69,3.34,0.77,154.9
171,2018.4.9,830678,440.2,1371.2,470,664.8,4356,2702.8,46.8,54.26,13.12,116.51,6.36,65.97,3.41,0.77,155.79
172,2018.4.16,681113,449.2,1367.8,471.4,638.2,4268,2787,47.7,56.6,14,119.17,6.37,66.5,3.4,0.77,NA
173,2018.4.23,531548,458.2,1364.4,472.8,611.6,4180,2871.2,46.53,55.14,13.95,119.83,6.36,66.43,3.47,0.76,NA
174,2018.4.30,381983,467.2,1361,474.2,585,4092,2955.4,48.27,55.62,14.08,120.3,6.38,66.95,3.52,0.75,NA
175,2018.5.7,NA,591.875,1655.625,562.125,751.75,5313.875,3305.875,50.41,57.39,14.61,121.7,6.41,67.93,3.57,0.75,NA
176,2018.5.14,NA,579.125,1688.875,581.375,760.25,5254.625,3494.625,50.81,58.41,14.58,124.83,6.41,64.66,3.68,0.75,NA
177,2018.5.21,NA,566.375,1722.125,600.625,768.75,5195.375,3683.375,49.02,56.98,14.03,126.18,6.41,65.29,3.65,0.76,NA
178,2018.5.28,NA,553.625,1755.375,619.875,777.25,5136.125,3872.125,50.24,57.54,14.03,124.83,6.46,66.3,3.73,0.76,NA
179,2018.6.4,NA,NA,NA,NA,NA,NA,NA,51.67,59.22,13.75,124.39,6.56,67.37,3.8,0.76,NA
180,2018.6.11,NA,NA,NA,NA,NA,NA,NA,48.7,56.79,13.17,124.41,6.62,66.13,3.74,0.75,NA
181,2018.6.18,NA,NA,NA,NA,NA,NA,NA,48.93,55.46,12.81,122.9,NA,65.23,3.76,0.74,NA
182,2018.6.25,NA,NA,NA,NA,NA,NA,NA,50.01,55.48,12.82,121.65,NA,NA,3.84,0.74,NA
183,2018.6.29,NA,NA,NA,NA,NA,NA,NA,50.01,55.48,12.82,123.41,NA,NA,3.91,0.74,NA
184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA